"layer","aridity","elevation","hli","precipitation","precseasonality","temperature","tempseasonality","tpi","tri","geom"
1,15564.296875,1971.181640625,0.935413599014282,6454.7822265625,26.9455757141113,20.1387748718262,1216.82641601562,129.142578125,1098.1181640625,c(4327929.97552175, 2651380.71546975)
1,11877.263671875,2130.50756835938,0.575674653053284,6520.64892578125,31.0522327423096,7.24772548675537,714.68896484375,-60.9194602966309,699.795104980469,c(4395321.28283811, 2650474.19576377)
1,25814.1953125,2030.6484375,0.649695634841919,6877.05517578125,39,7.45134687423706,1279.81091308594,138.543716430664,474.318206787109,c(4610980.10895901, 2649056.83857963)
1,21485.58203125,1850.40283203125,0.61628645658493,6832.14111328125,21.4222087860107,18.8187427520752,2145.20727539062,140.904830932617,346.903930664062,c(4569433.3705284, 2610029.25367055)
1,19094.341796875,1905.3046875,0.741201281547546,6394.22998046875,17.2045936584473,16.1822338104248,1891.21313476562,-54.7611465454102,405.649291992188,c(4320280.59876457, 2672067.87717789)
1,15688.845703125,2299.21142578125,0.792088150978088,6432.7470703125,35.0145416259766,-2.83988428115845,809.468505859375,-204.803009033203,752.802734375,c(4311250.2974678, 2608359.48010164)
1,6017.73046875,1901.98254394531,0.459854483604431,6576.9287109375,32.8018455505371,25.7649021148682,667.978637695312,373.907348632812,1184.18432617188,c(4361197.86363989, 2615392.80909958)
1,10307.876953125,2273.49755859375,0.716265141963959,6502.87255859375,27.3388614654541,3.70879364013672,1102.27478027344,-43.9283332824707,281.981567382812,c(4323164.08545764, 2588312.22442419)
1,19075.552734375,2441.2763671875,0.718890011310577,6548.39306640625,14.6985492706299,-3.98527908325195,884.216735839844,-264.025390625,744.486145019531,c(4099858.92813565, 2492913.04905034)
1,23312.8828125,2668.27734375,0.799893915653229,6327.49853515625,31.9975070953369,-16.1926040649414,1482.49914550781,364.531433105469,818.625732421875,c(4268509.5078665, 2607261.81285249)
1,6114.322265625,2143.59521484375,0.851770341396332,6537.28271484375,30.8698139190674,7.453528881073,810.049133300781,-355.85107421875,980.977905273438,c(4367574.78499186, 2600625.57571615)
1,23892.294921875,2352.08251953125,0.905338227748871,6673.8466796875,25.2428283691406,-10.1910791397095,1238.12890625,-17.5494956970215,953.806091308594,c(4532080.27085324, 2650219.87654626)
1,23582.015625,2035.16931152344,0.689391553401947,6775.09228515625,34.6827507019043,1.67639625072479,1057.98999023438,-393.184906005859,941.469482421875,c(4571106.65124225, 2665157.12098871)
1,20135.7265625,2293.63696289062,0.787370920181274,6608.86376953125,39.9601287841797,-6.35874223709106,1004.26141357422,-175.881637573242,554.686828613281,c(4483904.52806743, 2655293.13179346)
1,20135.7265625,2293.63696289062,0.787370920181274,6608.86376953125,39.9601287841797,-6.35874223709106,1004.26141357422,-175.881637573242,554.686828613281,c(4483904.52806743, 2655293.13179346)
1,23582.015625,2035.16931152344,0.689391553401947,6775.09228515625,34.6827507019043,1.67639625072479,1057.98999023438,-393.184906005859,941.469482421875,c(4571106.65124225, 2665157.12098871)
1,19679.01953125,2273.14672851562,0.844658017158508,6625.51513671875,40.5671272277832,-3.82452273368835,952.260070800781,-148.923950195312,812.684753417969,c(4487011.58290957, 2653161.08384281)
1,20135.7265625,2293.63696289062,0.787370920181274,6608.86376953125,39.9601287841797,-6.35874223709106,1004.26141357422,-175.881637573242,554.686828613281,c(4483904.52806743, 2655293.13179346)
1,22864.265625,2302.58276367188,0.879879415035248,6686.17626953125,26.0335597991943,-5.60953330993652,1134.95703125,-146.007202148438,748.244262695312,c(4530517.24760699, 2651273.28361987)
1,18526.19140625,2142.50073242188,0.788839221000671,6646.4794921875,40.6039123535156,2.17327904701233,856.426147460938,-279.630432128906,670.826049804688,c(4486218.90526309, 2654249.11816679)
1,25365.458984375,2130.33227539062,0.730161368846893,6681.91162109375,31.1943302154541,-2.78258681297302,1944.11340332031,57.3499755859375,150.540405273438,c(4567308.12002715, 2716016.3445714)
1,25029.62109375,2117.02807617188,0.719225287437439,6683.79443359375,31.4348068237305,-1.93779599666595,1946.55883789062,43.2532958984375,165.564163208008,c(4566718.38336051, 2716101.43238211)
1,22857.845703125,2170.7314453125,0.628665149211884,6697.109375,30.7476654052734,-1.43820631504059,1187.50048828125,-98.7551803588867,659.883117675781,c(4536015.51252257, 2670895.58563756)
1,26732.197265625,1987.85144042969,0.5954230427742,6905.85986328125,51.8862419128418,3.85597395896912,1042.14660644531,69.0353775024414,389.581939697266,c(4668459.10916547, 2673183.07335997)
1,17731.94140625,1812.48168945312,0.69494366645813,6711.923828125,37.0729217529297,23.758975982666,1485.51599121094,275.956359863281,728.914428710938,c(4513311.14200419, 2701516.1469582)
1,18124.908203125,2269.41796875,0.771852076053619,6391.21875,21.9792957305908,-0.98431670665741,1077.49572753906,31.6606712341309,762.875732421875,c(4336877.97459494, 2653450.45030758)
1,19917.76171875,1597.39514160156,0.725747287273407,7022.75244140625,43.1227798461914,27.4940547943115,1136.16333007812,195.274154663086,596.832641601562,c(4703021.08891921, 2689773.59957202)
1,24314.791015625,2032.31799316406,0.695900857448578,6779.53173828125,36.1114387512207,3.5704185962677,1308.99548339844,-93.3910598754883,514.796875,c(4575227.44839874, 2675350.61190988)
1,22150.771484375,2167.107421875,0.654224634170532,6695.5302734375,28.4819240570068,-2.83122944831848,1041.5537109375,-362.04150390625,747.821899414062,c(4531039.08501441, 2657962.36954952)
1,23562.541015625,2367.26342773438,0.577834069728851,6667.94287109375,28.2401218414307,-9.53378772735596,1052.64367675781,55.3116416931152,867.221923828125,c(4531719.48536221, 2660211.04456999)
1,25093.9140625,2119.99291992188,0.855430543422699,6768.130859375,35.2117958068848,-0.776215851306915,1296.77185058594,-98.3778610229492,731.5341796875,c(4575470.22471549, 2669800.97564681)
1,23562.541015625,2367.26342773438,0.577834069728851,6667.94287109375,28.2401218414307,-9.53378772735596,1052.64367675781,55.3116416931152,867.221923828125,c(4531719.48536221, 2660211.04456999)
1,23582.015625,2035.16931152344,0.689391553401947,6775.09228515625,34.6827507019043,1.67639625072479,1057.98999023438,-393.184906005859,941.469482421875,c(4571106.65124225, 2665157.12098871)
1,23156.7578125,1925.79272460938,0.676978528499603,6802.55419921875,36.63818359375,8.36255931854248,1083.22509765625,-217.67317199707,612.248840332031,c(4573241.24272079, 2668588.52812645)
1,23483.654296875,1876.33471679688,0.826375782489777,6804.71875,35.0075569152832,9.32930374145508,1216.10668945312,-201.779541015625,808.11572265625,c(4577453.30704174, 2676563.90248745)
1,24539.9453125,2396.78393554688,0.556524217128754,6650.0302734375,28.9643383026123,-14.2017621994019,1108.76635742188,-208.68098449707,833.203979492188,c(4530318.28072288, 2656823.94729979)
1,23459.310546875,1994.96923828125,0.799876093864441,6801.67236328125,34.3353805541992,7.81890296936035,1097.21313476562,-222.584518432617,526.115417480469,c(4575518.7634002, 2668691.06542988)
1,23937.296875,2408.59375,0.616598010063171,6660.4541015625,29.3741855621338,-11.2665634155273,1061.845703125,140.579940795898,753.274536132812,c(4531679.37521418, 2661321.20353029)
1,24449.916015625,2071.45434570312,0.659078299999237,6767.7197265625,35.9074172973633,0.910281717777252,1079.25671386719,-217.047424316406,760.236572265625,c(4571722.86930982, 2668520.68214119)
1,20866.59765625,2017.33959960938,0.845095872879028,6739.58740234375,24.2601222991943,8.17271709442139,1081.2666015625,-126.077697753906,686.380126953125,c(4535316.79021499, 2665905.15288036)
1,25879.515625,2079.08764648438,0.834124207496643,6796.26708984375,36.8646926879883,3.59949469566345,1458.0009765625,214.209136962891,796.543640136719,c(4593715.02265818, 2685104.91140147)
1,24655.095703125,2039.23718261719,0.79397177696228,6708.552734375,27.2440891265869,3.6710786819458,1776.45690917969,98.6053695678711,692.007019042969,c(4566528.42691468, 2715645.92404728)
1,21424.677734375,1674.82946777344,0.702642917633057,6857.0048828125,40.8720016479492,24.4767074584961,1306.19885253906,-0.595468699932098,321.137939453125,c(4583254.96931949, 2691206.34826787)
1,24655.095703125,2039.23718261719,0.79397177696228,6708.552734375,27.2440891265869,3.6710786819458,1776.45690917969,98.6053695678711,692.007019042969,c(4566631.56032821, 2715444.69574081)
1,14622.1064453125,2364.65625,0.735338985919952,5806.49462890625,14.873330116272,15.1251735687256,885.130187988281,86.5945434570312,404.909240722656,c(3640455.40141774, 2197202.51278171)
1,14622.1064453125,2364.65625,0.735338985919952,5806.49462890625,14.873330116272,15.1251735687256,885.130187988281,86.5945434570312,404.909240722656,c(3640495.26661004, 2197211.04074308)
1,12408.8271484375,2255.51245117188,0.64596164226532,6505.896484375,27.9757881164551,5.2659158706665,812.168212890625,-359.983062744141,724.395690917969,c(4162844.08448797, 2549377.66480899)
1,7076.83544921875,2128.93994140625,0.763924181461334,6655.3916015625,36.2522506713867,12.8943033218384,1210.08227539062,279.552215576172,488.098388671875,c(4432819.59681947, 2581921.60089485)
1,16815.978515625,2364.93432617188,0.717144906520844,6596.69384765625,11.8218097686768,4.29112863540649,1024.61328125,156.021881103516,1030.60095214844,c(4118741.84461121, 2500661.70418969)
1,23455.341796875,1771.5556640625,0.595058023929596,6883.9296875,35.1210403442383,16.7928981781006,964.05029296875,171.381195068359,579.724792480469,c(4655429.35540447, 2712846.93544736)
1,12416.728515625,2405.95532226562,0.887418925762177,6439.73583984375,21.9133911132812,-4.17593622207642,1083.67224121094,-110.346076965332,794.663391113281,c(4163901.22717527, 2560802.54902585)
1,27265.9375,2121.9296875,0.805432140827179,6859.70458984375,37.7593269348145,2.68540596961975,1433.48388671875,235.536727905273,610.678771972656,c(4611997.03497347, 2645764.91766398)
1,18147.931640625,2878.11401367188,0.796744525432587,6375.65966796875,31.1070327758789,-33.1633682250977,706.103820800781,8.41377258300781,684.570922851562,c(4382310.11549181, 2635152.4911704)
1,10377.365234375,2000.48254394531,0.656976163387299,6581.84326171875,31.7338562011719,15.5338544845581,730.759521484375,-76.8116073608398,415.987335205078,c(4406150.15322967, 2640597.60252229)
1,19075.552734375,2441.2763671875,0.718890011310577,6548.39306640625,14.6985492706299,-3.98527908325195,884.216735839844,-264.025390625,744.486145019531,c(4099858.92813565, 2492913.04905034)
1,27265.9375,2121.9296875,0.805432140827179,6859.70458984375,37.7593269348145,2.68540596961975,1433.48388671875,235.536727905273,610.678771972656,c(4611997.03497347, 2645764.91766398)
1,19075.552734375,2441.2763671875,0.718890011310577,6548.39306640625,14.6985492706299,-3.98527908325195,884.216735839844,-264.025390625,744.486145019531,c(4099858.92813565, 2492913.04905034)
1,18602.1796875,2117.93823242188,0.821079313755035,6374.4423828125,23.6345691680908,11.6726789474487,1741.74353027344,-74.6292495727539,530.534362792969,c(4211053.12767156, 2605891.79732806)
1,17912.294921875,2213.962890625,0.743387758731842,6396.20166015625,30.6806774139404,2.61374950408936,1210.89331054688,-199.769027709961,758.442504882812,c(4321656.14179006, 2644755.14622479)
1,21744.83203125,1717.00659179688,0.853948891162872,6899.48193359375,39.9858551025391,22.3973712921143,1177.70922851562,-15.4388275146484,617.860900878906,c(4596782.0919338, 2666916.84133909)
1,19237.388671875,2324.09692382812,0.671945571899414,6372.5673828125,27.567943572998,-1.4793027639389,1377.42102050781,198.285598754883,502.171142578125,c(4319301.32802271, 2648458.37837878)
1,19959.080078125,2366.96728515625,0.642691493034363,6363.70361328125,30.5443820953369,-7.39106941223145,1238.59899902344,134.221832275391,658.115966796875,c(4323500.12831691, 2645674.43855569)
1,20919.296875,2428.45678710938,0.639174580574036,6356.07275390625,29.2107067108154,-7.89745140075684,1400.15417480469,148.920822143555,526.249816894531,c(4319772.93466306, 2645747.43702444)
1,19483.412109375,2320.4462890625,0.679302096366882,6371.16845703125,27.9373626708984,-2.64286637306213,1382.31262207031,146.687469482422,517.117614746094,c(4319286.45442445, 2647364.09876961)
1,19483.412109375,2320.4462890625,0.679302096366882,6371.16845703125,27.9373626708984,-2.64286637306213,1382.31262207031,146.687469482422,517.117614746094,c(4319284.18112413, 2647148.39778121)
1,19717.0625,2376.69067382812,0.782020747661591,6364.54541015625,27.0711460113525,-3.22583842277527,1520.03979492188,189.761611938477,612.899963378906,c(4318738.53057442, 2648584.19866855)
1,19483.412109375,2320.4462890625,0.679302096366882,6371.16845703125,27.9373626708984,-2.64286637306213,1382.31262207031,146.687469482422,517.117614746094,c(4319280.60380039, 2647164.0600018)
1,17912.294921875,2213.962890625,0.743387758731842,6396.20166015625,30.6806774139404,2.61374950408936,1210.89331054688,-199.769027709961,758.442504882812,c(4321146.32607641, 2644075.69256829)
1,19717.0625,2376.69067382812,0.782020747661591,6364.54541015625,27.0711460113525,-3.22583842277527,1520.03979492188,189.761611938477,612.899963378906,c(4318160.69731829, 2648449.28403583)
1,19483.412109375,2320.4462890625,0.679302096366882,6371.16845703125,27.9373626708984,-2.64286637306213,1382.31262207031,146.687469482422,517.117614746094,c(4319243.93522283, 2647634.90549195)
1,17912.294921875,2213.962890625,0.743387758731842,6396.20166015625,30.6806774139404,2.61374950408936,1210.89331054688,-199.769027709961,758.442504882812,c(4321654.01702902, 2644665.40098435)
1,20050.271484375,2400.51489257812,0.67364376783371,6368.216796875,29.4949798583984,-3.90012717247009,1374.84375,180.169784545898,597.182312011719,c(4319779.42368586, 2646524.04624844)
1,26833.2734375,2050.02124023438,0.884739816188812,6814.2861328125,34.7744750976562,2.19617652893066,1329.57409667969,151.872314453125,725.730407714844,c(4612573.27677927, 2684255.78379539)
1,19717.0625,2376.69067382812,0.782020747661591,6364.54541015625,27.0711460113525,-3.22583842277527,1520.03979492188,189.761611938477,612.899963378906,c(4318990.88452895, 2648596.98775673)
1,15778.298828125,1971.6630859375,0.615648627281189,6439.7041015625,29.3721675872803,13.6662178039551,950.097900390625,-274.235290527344,844.510375976562,c(4324728.91801096, 2645026.35009253)
