"layer","aridity","elevation","hli","precipitation","precseasonality","temperature","tempseasonality","tpi","tri","geom"
1,9833.486328125,2039.47387695312,0.786081433296204,6675.72216796875,38.0144157409668,17.3121566772461,1079.17456054688,341.078308105469,630.558288574219,c(4444769.22043592, 2605904.90327921)
1,10307.876953125,2273.49755859375,0.716265141963959,6502.87255859375,27.3388614654541,3.70879364013672,1102.27478027344,-43.9283332824707,281.981567382812,c(4323164.08545764, 2588312.22442419)
1,10292.7021484375,1837.70190429688,0.728541970252991,6718.04833984375,36.1405982971191,27.1913509368896,902.78955078125,17.7567806243896,186.98356628418,c(4448096.29268227, 2604719.13915259)
1,12462.14453125,1211.80249023438,0.715771496295929,6780.84765625,38.0325241088867,54.9145088195801,668.535522460938,-429.882476806641,1050.1455078125,c(4457874.22177886, 2666595.14084601)
1,16824.09375,2064.05444335938,0.661844491958618,6588.91064453125,37.6783905029297,7.87037420272827,952.804077148438,-51.2192420959473,644.733337402344,c(4446687.17177556, 2667723.69819771)
1,20392.2421875,2177.81103515625,0.5766921043396,6362.8701171875,26.8591690063477,-0.881885349750519,1477.38439941406,34.0696830749512,554.4873046875,c(4312453.47193768, 2648941.86476855)
1,18718.62890625,2181.21728515625,0.700816214084625,6374.8291015625,27.5647926330566,5.42290592193604,1784.84057617188,409.114166259766,644.935363769531,c(4319086.48894421, 2661780.92192299)
1,16426.845703125,2375.46435546875,0.823855876922607,6417.87158203125,35.9480285644531,-6.58166599273682,855.200012207031,-198.137893676758,749.314270019531,c(4310184.85710111, 2608142.8554524)
1,10736.9296875,1969.71337890625,0.60246753692627,6688.7451171875,35.7675094604492,19.2193622589111,966.45068359375,21.4507312774658,333.930938720703,c(4447730.7729226, 2602087.34073899)
1,15911.5361328125,1565.63610839844,0.703360319137573,6781.310546875,36.8500099182129,31.482292175293,808.463195800781,-505.199676513672,948.701354980469,c(4510565.05451736, 2670464.04906489)
1,16029.646484375,1988.275390625,0.602718234062195,6609.16162109375,36.7726783752441,13.6614265441895,821.01416015625,136.277130126953,778.589050292969,c(4450767.10100381, 2673816.72098229)
1,9833.486328125,2039.47387695312,0.786081433296204,6675.72216796875,38.0144157409668,17.3121566772461,1079.17456054688,341.078308105469,630.558288574219,c(4444769.22043592, 2605904.90327921)
1,10816.228515625,1882.39294433594,0.677693724632263,6549.60546875,34.6652565002441,27.1257190704346,595.753723144531,-70.1506195068359,440.769836425781,c(4311665.25567074, 2603205.44485683)
1,26179.310546875,1810.60961914062,0.74847936630249,7094.3154296875,42.6149139404297,-1.23126220703125,1361.38537597656,64.3752517700195,581.483215332031,c(5061974.42120439, 2952048.12415001)
1,18902.83203125,1940.34912109375,0.51270455121994,6780.07275390625,25.9450950622559,16.0425033569336,1063.66967773438,-37.7273941040039,793.982299804688,c(4533724.54373895, 2646946.73830527)
1,23156.7578125,1925.79272460938,0.676978528499603,6802.55419921875,36.63818359375,8.36255931854248,1083.22509765625,-217.67317199707,612.248840332031,c(4573241.24272079, 2668588.52812645)
1,18341.724609375,2112.61767578125,0.613024294376373,6701.76513671875,38.3661804199219,5.85860729217529,1134.61059570312,240.504440307617,791.955139160156,c(4512892.66716864, 2653981.43536223)
1,18526.19140625,2142.50073242188,0.788839221000671,6646.4794921875,40.6039123535156,2.17327904701233,856.426147460938,-279.630432128906,670.826049804688,c(4486218.90526309, 2654249.11816679)
1,11862.8896484375,2224.294921875,0.87695050239563,6524.55029296875,33.1459426879883,3.17180824279785,945.043640136719,-53.7995910644531,831.833374023438,c(4401134.50364929, 2644059.22148761)
1,19103.697265625,1935.80981445312,0.623524487018585,6715.3095703125,40.6192169189453,11.5143527984619,1067.09753417969,-260.799530029297,538.243225097656,c(4520115.48909477, 2674964.46231071)
1,18862.1953125,2865.181640625,0.522303223609924,6382.48095703125,40.467700958252,-30.1932506561279,824.887573242188,138.094299316406,817.247497558594,c(4388307.15615158, 2646196.29454846)
1,26314.041015625,2010.08386230469,0.693453788757324,6870.89990234375,40.3747596740723,5.21635913848877,1293.3505859375,175.313735961914,403.843505859375,c(4614937.78987606, 2652367.32700752)
1,12114.9453125,1859.2275390625,0.545592069625854,6609.798828125,42.6013984680176,24.9691390991211,902.685668945312,196.608383178711,1081.60827636719,c(4421400.72121647, 2665689.11159797)
1,25265.97265625,1957.43408203125,0.642475068569183,6895.1513671875,40.7237319946289,10.7284326553345,1182.05078125,131.775405883789,416.530792236328,c(4615452.757337, 2652518.75157009)
1,26314.041015625,2010.08386230469,0.693453788757324,6870.89990234375,40.3747596740723,5.21635913848877,1293.3505859375,175.313735961914,403.843505859375,c(4614942.50207624, 2652369.24095966)
1,15745.8369140625,2375.11254882812,0.69398421049118,6416.47216796875,36.0549354553223,-3.23691940307617,983.609741210938,292.070678710938,712.008361816406,c(4365273.93686809, 2662406.36232251)
1,25265.97265625,1957.43408203125,0.642475068569183,6895.1513671875,40.7237319946289,10.7284326553345,1182.05078125,131.775405883789,416.530792236328,c(4615520.36133231, 2652525.16996461)
1,25265.97265625,1957.43408203125,0.642475068569183,6895.1513671875,40.7237319946289,10.7284326553345,1182.05078125,131.775405883789,416.530792236328,c(4615456.94628289, 2652505.28711306)
1,16815.279296875,2134.6142578125,0.645750522613525,6405.24365234375,33.8805046081543,9.38373947143555,1375.67456054688,196.900817871094,647.644775390625,c(4318489.38329092, 2651427.45015422)
1,24519.525390625,2134.99267578125,0.660934269428253,6758.83837890625,35.1591110229492,-2.08514380455017,1074.83264160156,-198.014892578125,821.230346679688,c(4571844.67187445, 2666772.16860088)
1,26412.1875,2025.85815429688,0.645439386367798,6865.13134765625,39,4.68954467773438,1314.30981445312,129.079223632812,333.643157958984,c(4610291.62705788, 2648947.24049176)
1,24527.36328125,1918.90771484375,0.702400684356689,6884.15087890625,42.3844375610352,12.7446823120117,1272.44689941406,326.7353515625,799.329406738281,c(4623393.33771246, 2678179.46660516)
1,14524.9716796875,1308.31774902344,0.600639283657074,6781.833984375,40.5083198547363,49.8328857421875,1688.33752441406,169.318817138672,595.164184570312,c(4504941.1113809, 2711187.01462734)
1,17408.806640625,2056.34301757812,0.723188519477844,6688.251953125,41.0715675354004,7.13784313201904,972.012512207031,-143.101211547852,648.529907226562,c(4496318.3248749, 2644277.19689147)
1,24636.27734375,2093.61376953125,0.746135950088501,6828.13671875,40.3039741516113,4.99276828765869,1363.29370117188,387.131713867188,805.16943359375,c(4597586.01941318, 2667246.70774361)
1,13543.673828125,2037.77917480469,0.761568188667297,6573.77392578125,41.2441864013672,14.7013282775879,1265.65625,473.597473144531,1047.80883789062,c(4431186.64485115, 2678593.38423877)
